date,ticker,open,high,low,close,volume
2026-08-24,HDFCBANK,1695.0,1705.0,1690.0,1700.0,10500000
2026-08-24,TCS,3990.0,4010.0,3985.0,3995.0,2100000
2026-08-24,RELIANCE,2890.0,2910.0,2880.0,2900.0,5100000
2026-08-24,INFY,1495.0,1505.0,1490.0,1500.0,4000000
2026-08-24,ICICIBANK,1045.0,1055.0,1040.0,1050.0,8200000
2026-08-25,HDFCBANK,1700.0,1710.0,1695.0,1705.0,9800000
2026-08-25,TCS,3995.0,4015.0,3990.0,4000.0,2000000
2026-08-25,RELIANCE,2900.0,2920.0,2890.0,2910.0,5000000
2026-08-25,INFY,1500.0,1510.0,1495.0,1505.0,4100000
2026-08-25,ICICIBANK,1050.0,1060.0,1045.0,1055.0,8000000
2026-08-26,HDFCBANK,1705.0,1715.0,1700.0,1702.0,10200000
2026-08-26,TCS,4000.0,4010.0,3980.0,3990.0,2200000
2026-08-26,RELIANCE,2910.0,2930.0,2890.0,2895.0,5300000
2026-08-26,INFY,1505.0,1515.0,1490.0,1495.0,3900000
2026-08-26,ICICIBANK,1055.0,1065.0,1040.0,1045.0,8400000
2026-08-27,HDFCBANK,1702.0,1710.0,1690.0,1695.0,10100000
2026-08-27,TCS,3990.0,4000.0,3970.0,3985.0,1900000
2026-08-27,RELIANCE,2895.0,2910.0,2880.0,2890.0,4900000
2026-08-27,INFY,1495.0,1505.0,1480.0,1490.0,4200000
2026-08-27,ICICIBANK,1045.0,1055.0,1035.0,1040.0,8100000
2026-08-28,HDFCBANK,1695.0,1705.0,1690.0,1700.0,9900000
2026-08-28,TCS,3985.0,4005.0,3980.0,3995.0,2050000
2026-08-28,RELIANCE,2890.0,2905.0,2885.0,2900.0,5050000
2026-08-28,INFY,1490.0,1500.0,1485.0,1495.0,4050000
2026-08-28,ICICIBANK,1040.0,1050.0,1035.0,1045.0,7900000
2026-08-31,HDFCBANK,1700.0,1710.0,1695.0,1705.0,10300000
2026-08-31,TCS,3995.0,4010.0,3990.0,4005.0,2100000
2026-08-31,RELIANCE,2900.0,2915.0,2895.0,2910.0,5200000
2026-08-31,INFY,1495.0,1510.0,1490.0,1505.0,3950000
2026-08-31,ICICIBANK,1045.0,1055.0,1040.0,1050.0,8050000
2026-09-01,HDFCBANK,1705.0,1715.0,1700.0,1710.0,10000000
2026-09-01,TCS,4005.0,4020.0,4000.0,4015.0,2000000
2026-09-01,RELIANCE,2910.0,2925.0,2905.0,2920.0,5150000
2026-09-01,INFY,1505.0,1520.0,1500.0,1515.0,4100000
2026-09-01,ICICIBANK,1050.0,1065.0,1045.0,1060.0,8150000
2026-09-02,HDFCBANK,1710.0,1720.0,1705.0,1715.0,10600000
2026-09-02,TCS,4015.0,4030.0,4010.0,4025.0,2150000
2026-09-02,RELIANCE,2920.0,2935.0,2915.0,2930.0,5250000
2026-09-02,INFY,1515.0,1530.0,1510.0,1525.0,4200000
2026-09-02,ICICIBANK,1060.0,1075.0,1055.0,1070.0,8300000
2026-09-03,HDFCBANK,1715.0,1725.0,1705.0,1700.0,10800000
2026-09-03,TCS,4025.0,4035.0,4010.0,4020.0,1950000
2026-09-03,RELIANCE,2930.0,2940.0,2915.0,2925.0,4800000
2026-09-03,INFY,1525.0,1535.0,1510.0,1520.0,3800000
2026-09-03,ICICIBANK,1070.0,1080.0,1060.0,1065.0,7800000
2026-09-04,HDFCBANK,1700.0,1705.0,1610.0,1612.50,31000000
2026-09-04,TCS,4020.0,4030.0,4015.0,4020.0,2100000
2026-09-04,RELIANCE,2925.0,2935.0,2910.0,2915.0,5100000
2026-09-04,INFY,1520.0,1530.0,1505.0,1510.0,4000000
2026-09-04,ICICIBANK,1065.0,1075.0,1050.0,1055.0,8000000
